"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
"Total","2010","2010",,,2468435,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2011","2011","Jan., 2011","2011/01",233690,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Feb., 2011","2011/02",211783,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Mar., 2011","2011/03",225194,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Apr., 2011","2011/04",208288,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","May, 2011","2011/05",208356,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Jun., 2011","2011/06",197330,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2011","2011","Jul., 2011","2011/07",202091,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Aug., 2011","2011/08",200504,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Sep., 2011","2011/09",195381,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2011","2011","Oct., 2011","2011/10",207974,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Nov., 2011","2011/11",206139,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2011","2011","Dec., 2011","2011/12",218728,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2011","2011",,,2515458,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.4%
